"CandidateName","Gender","Age","PartyID","SymbolID","SymbolName","PoliticalPartyName","ElectionPost","DistrictName","State","SCConstID","CenterConstID","SerialNo","TotalVoteReceived","CastedVote","TotalVoters","Rank","Remarks","Samudaya"
"श्रीमती विद्या देवी भण्डारी","महिला",56,0,0,,,,,,,,0,39275,0,0,,"Elected","खस आर्य"
"कुमारी लक्ष्मी राई","महिला",68,0,0,,,,,,,,0,11730,0,0,,,"आदिवासी जनजाति"
