"CandidateName","Gender","Age","PartyID","SymbolID","SymbolName","PoliticalPartyName","ElectionPost","DistrictName","State","SCConstID","CenterConstID","SerialNo","TotalVoteReceived","CastedVote","TotalVoters","Rank","Remarks","Samudaya"
,,0,25,25,"डाँफे","राष्ट्रिय यथार्थवादी पार्टी, नेपाल",,,0,,,38,1052,0,0,,,
,,0,58,58,"भुईंकटहर","नेपाल दर्शन",,,0,,,39,977,0,0,,,
,,0,24,24,"चुच्चोले चिठ्ठी बोकेर उड्न लागेको परेवा","नेपाल नौलो जनवादी पार्टी",,,0,,,40,976,0,0,,,
,,0,90,90,"सिपाही","एकल चिन्ह सिपाही लिएका",,,0,,,41,946,0,0,,,
,,0,82,82,"मोटर साईकल","युवा नेपाल पार्टी",,,0,,,42,872,0,0,,,
,,0,48,48,"इनार","नेपाल दलित पार्टी",,,0,,,43,834,0,0,,,
,,0,76,76,"गैंडा","जनप्रजातान्त्रिक पार्टी, नेपाल",,,0,,,44,744,0,0,,,
,,0,73,73,"ऐना","देशभक्त लोकतान्त्रिक पार्टी",,,0,,,45,740,0,0,,,
,,0,59,59,"हवाईजहाज","संघीय खम्बुवान लोकतान्त्रिक पार्टी नेपाल",,,0,,,46,721,0,0,,,
,,0,78,78,"दमाहा","लिवरल डेमोक्रेटीक पार्टी",,,0,,,47,519,0,0,,,
,,0,52,52,"जरायो","देशभक्त समाज",,,0,,,48,434,0,0,,,
,,0,53,53,"धारा","हाम्रो पार्टी",,,0,,,49,426,0,0,,,
